symbol,season,status,detail,fiscal_label,period_end,fiscal_calendar,source,words,facts,high,medium,low,unverified,verified_pct,unclaimed_figures,claimed_share,conflicts,checks_failed,checks_warn,period_check,signals,selected,trajectory_rows,snapshot_checks_failed,snapshot_checks_warn,registry,unmapped_segments,gold_facts,gold_snapshot,db_eligible,attention
AMD,2026Q2,ok,,2026Q2,2026-06,verified,cache,8540,45,34,11,0,0,100.0,37,0.549,0,0,1,pass,177,77,6,0,0,curated,0,pass,pass,True,
CAT,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,9161,23,20,1,2,0,100.0,63,0.267,2,0,1,pass,185,28,0,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
COST,2026Q2,ok,,2026Q3,2026-05,seed/library,alphavantage,7686,15,9,2,4,0,100.0,58,0.205,4,0,1,pass,126,19,0,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
DAL,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,7284,19,12,4,3,0,100.0,48,0.284,2,0,1,unknown,137,45,1,0,2,auto,0,none,none,False,period_unchecked; many_unclaimed_figures; no_segment_map; assumed_calendar_year
GE,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,8118,37,24,9,4,0,100.0,90,0.291,4,0,1,pass,148,49,3,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
HD,2026Q2,no_transcript,No transcript returned for HD 2026Q2.,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
HESM,2026Q2,ok,,2026Q2,2026-06,seed/library,cache,2755,21,15,6,0,0,100.0,12,0.636,0,0,0,pass,40,34,1,0,0,curated,0,pass,fail,False,gold_fail
JPM,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,11524,13,2,1,10,0,100.0,59,0.181,9,0,1,pass,90,17,0,0,3,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
LLY,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,9027,16,12,1,3,0,100.0,44,0.267,2,0,1,pass,121,26,0,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
MCD,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,9558,13,8,5,0,0,100.0,32,0.289,0,0,0,pass,104,27,2,0,1,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
MSFT,2026Q2,ok,,2026Q4,2026-06,seed/library,alphavantage,9489,67,31,20,16,0,100.0,50,0.573,15,0,2,pass,158,71,7,0,2,auto,0,none,none,True,no_segment_map
NEE,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,8358,8,3,3,2,0,100.0,40,0.167,2,0,1,pass,94,17,0,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
NKE,2026Q2,ok,,2026Q4,2026-05,seed/library,alphavantage,7556,22,13,2,7,0,100.0,41,0.349,7,0,1,pass,149,28,2,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
NVDA,2026Q2,no_transcript,No transcript returned for NVDA 2027Q2.,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
PFE,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,8221,15,14,0,1,0,100.0,50,0.231,0,0,0,pass,118,18,1,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
PG,2026Q2,ok,,2026Q4,2026-06,seed/library,alphavantage,11510,21,10,7,4,0,100.0,68,0.236,4,0,1,pass,228,27,2,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
PLD,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,7887,2,0,2,0,0,100.0,66,0.029,0,0,0,pass,81,23,0,0,1,auto,0,none,none,True,few_facts; many_unclaimed_figures; no_segment_map; assumed_calendar_year
UNH,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,7634,8,8,0,0,0,100.0,59,0.119,0,0,0,pass,86,17,0,0,1,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
V,2026Q2,ok,,2026Q3,2026-06,seed/library,alphavantage,8443,27,26,1,0,0,100.0,52,0.342,0,0,0,pass,140,31,1,0,2,auto,1,none,none,True,many_unclaimed_figures; no_segment_map
VICI,2026Q2,ok,,2026Q2,2026-06,seed/library,cache,6688,8,5,1,2,0,100.0,12,0.4,2,0,1,pass,76,60,0,0,1,curated,0,pass,fail,False,gold_fail
VZ,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,7520,29,18,7,4,0,100.0,51,0.362,4,0,1,pass,156,28,2,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
WMT,2026Q2,no_transcript,No transcript returned for WMT 2027Q2.,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
XOM,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,8530,4,4,0,0,0,100.0,21,0.16,0,0,0,pass,106,17,0,0,1,auto,0,none,none,True,few_facts; many_unclaimed_figures; no_segment_map; assumed_calendar_year
