symbol,season,status,detail,fiscal_label,period_end,fiscal_calendar,source,words,facts,high,medium,low,unverified,verified_pct,unclaimed_figures,claimed_share,conflicts,checks_failed,checks_warn,period_check,signals,selected,trajectory_rows,snapshot_checks_failed,snapshot_checks_warn,registry,unmapped_segments,gold_facts,gold_snapshot,db_eligible,attention
ABT,2026Q2,ok,,2026Q2,2026-06,seed/library,alphavantage,5210,7,6,1,0,0,100.0,35,0.167,0,0,0,pass,112,16,0,0,1,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
AIG,2026Q2,ok,,2026Q2,2026-06,seed/library,alphavantage,6900,40,23,0,17,0,100.0,80,0.333,17,0,1,pass,128,35,0,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
AMD,2026Q2,ok,,2026Q2,2026-06,verified,cache,8540,45,34,11,0,0,100.0,37,0.549,0,0,1,pass,177,77,6,0,0,curated,0,pass,pass,True,
AMZN,2026Q2,ok,,2026Q2,2026-06,seed/library,alphavantage,8020,24,17,4,3,0,100.0,39,0.381,3,0,2,pass,121,47,0,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
AXP,2026Q2,ok,,2026Q2,2026-06,seed/library,alphavantage,7573,22,16,2,4,0,100.0,61,0.265,2,0,1,pass,147,18,1,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
BAC,2026Q2,ok,,2026Q2,2026-06,seed/library,alphavantage,7625,49,19,8,22,0,100.0,83,0.371,22,0,1,pass,139,43,1,0,3,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
CAT,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,9161,23,20,1,2,0,100.0,63,0.267,2,0,1,pass,185,28,0,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map; assumed_calendar_year
CMCSA,2026Q2,ok,,2026Q2,2026-06,seed/library,alphavantage,8229,23,16,5,2,0,100.0,28,0.451,2,0,1,pass,160,64,1,0,2,auto,0,none,none,True,no_segment_map
COST,2026Q2,ok,,2026Q3,2026-05,seed/library,alphavantage,7686,15,9,2,4,0,100.0,58,0.205,4,0,1,pass,126,19,0,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
CVX,2026Q2,ok,,2026Q2,2026-06,seed/library,alphavantage,6947,6,5,1,0,0,100.0,33,0.154,0,0,0,pass,89,20,0,0,1,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
DAL,2026Q2,ok,,2026Q2,2026-06,assumed,alphavantage,7284,19,12,4,3,0,100.0,48,0.284,2,0,1,unknown,137,45,1,0,2,auto,0,none,none,False,period_unchecked; many_unclaimed_figures; no_segment_map; assumed_calendar_year
DHR,2026Q2,ok,,2026Q2,2026-06,seed/library,alphavantage,7612,18,12,4,2,0,100.0,28,0.391,2,0,1,pass,136,51,2,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
